pair_id,participant_id,run,source_channel,source_time,control_time,recent_burst_count,exposed_post_outcome,control_post_outcome,source_pre_outcome
0,sub-01,1,Pz-O1,2.01625,28.05699175751871,0,0,0,0
1,sub-01,1,Fp1-F3,4.00025,28.01005054775471,0,0,0,0
2,sub-01,1,P4-O2,5.8095,11.396681714915285,0,1,1,0
3,sub-01,1,T5-P3,13.34725,25.729594678512278,0,0,0,0
4,sub-01,1,T5-C3,14.443,28.85859756716527,0,0,1,0
5,sub-01,1,T3-F3,15.27775,11.49086682908309,0,1,1,0
6,sub-01,1,T3-P3,15.61575,44.79529468305729,1,1,0,0
7,sub-01,1,P4-Cz,16.49475,23.944633819855092,0,0,0,0
8,sub-01,1,C3-Pz,18.058,11.737894222108661,1,0,0,1
9,sub-01,1,P3-O1,27.17775,56.268022508157884,0,1,0,0
10,sub-01,1,P3-Cz,29.26775,40.39086002786826,0,0,0,0
11,sub-01,1,C4-Pz,32.96375,50.46397321842388,1,1,1,1
12,sub-01,1,Fp1-F3,34.178,17.16438843288149,0,1,0,0
13,sub-01,1,P3-Pz,37.03925,56.44942683610118,0,0,0,0
14,sub-01,1,C3-P3,37.68625,19.0383569510558,0,0,0,0
15,sub-01,1,P3-Cz,38.18225,29.70639488876814,1,1,0,0
16,sub-01,1,T5-P3,38.6735,15.90544050544742,2,0,0,1
17,sub-01,1,P3-Pz,40.8605,64.78338364073038,0,0,0,0
18,sub-01,1,Pz-O1,44.69275,17.381497855414878,0,0,1,0
19,sub-01,1,Pz-O2,50.33725,24.101218899011208,0,1,0,0
20,sub-01,1,Cz-Pz,52.33225,49.684327351705505,0,0,0,0
21,sub-01,1,P3-O1,55.412,28.560009522334784,0,0,0,0
22,sub-01,1,C3-Pz,57.0115,67.94720968079065,0,0,0,0
23,sub-01,1,T5-P3,59.14,40.09524839084909,0,0,0,0
24,sub-01,1,T3-P3,59.94625,78.79594316429584,0,0,0,0
25,sub-01,1,P3-Pz,62.64925,77.74317718554471,0,0,1,0
26,sub-01,1,C3-Pz,63.354,51.84862288215072,0,0,0,0
27,sub-01,1,P3-Pz,65.74725,56.926541129958984,0,0,0,0
28,sub-01,1,F3-Cz,76.44975,81.21963614293502,0,0,1,0
29,sub-01,1,T5-O1,77.113,86.90017399240166,0,0,0,0
30,sub-01,1,C3-Fz,77.98675,68.72243448407305,0,0,0,0
31,sub-01,1,C3-P3,81.673,86.77237807282926,0,0,0,0
32,sub-01,1,T3-T5,83.60575,74.53753386461156,0,1,0,0
33,sub-01,1,F3-Cz,83.88575,57.33784767659066,1,0,0,1
34,sub-01,1,T5-P3,85.202,114.76992103102111,0,0,0,0
35,sub-01,1,T3-P3,85.6355,108.21912397054973,1,0,0,0
36,sub-01,1,F7-F3,88.5455,100.94057383847176,0,0,0,0
